Period,Data Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284
2010-01,Historical Data,0.0,0.0,132294.6,0.0,0.0,0.0,0.0,631655.18,75627.95,0.0,57478.0,88555.13,127433.98,160926.49,0.0,0.0,138536.23,0.0,168801.6,0.0,193407.8,0.0,0.0,0.0,0.0,0.0,0.0,235300.45,75659.26,43421.68,0.0,136553.13,0.0,0.0,0.0,260611.62,76950.85,209961.97,0.0,131944.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354195.94,0.0,0.0,78492.25,0.0,54300.76,117502.48,30239.81,112481.01,0.0,347059.68,261127.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61108.82,170702.92,43502.7,0.0,0.0,59246.55,140821.53,163605.96,0.0,672892.39,125256.91,114614.26,0.0,0.0,0.0,0.0,0.0,121701.39,0.0,116634.2,0.0,0.0,167725.69,0.0,0.0,0.0,104890.63,90720.23,0.0,244575.07,0.0,0.0,180204.95,204319.21,63850.66,91446.31,0.0,156733.32,0.0,146072.55,0.0,198224.52,0.0,0.0,0.0,245421.12,0.0,0.0,0.0,0.0,146031.7,0.0,0.0,176922.69,0.0,0.0,141378.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154639.11,0.0,230142.75,0.0,72685.63,224582.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14744.75,410480.32,0.0,0.0,0.0,0.0,206720.28,140474.59,125930.7,0.0,0.0,0.0,0.0,144429.72,111058.49,161550.34,531647.5,0.0,156026.33,50112.2,221325.41,0.0,0.0,231718.99,93874.94,0.0,65296.26,0.0,0.0,119742.36,127490.56,0.0,100837.76,258499.66,103434.35,0.0,0.0,194602.87,127100.96,0.0,0.0,0.0,0.0,0.0,146415.47,263631.78,76002.08,0.0,161280.81,133233.22,178306.04,0.0,0.0,0.0,0.0,127765.33,180808.61,209456.8,0.0,0.0,0.0,0.0,107177.84,0.0,0.0,201011.56,71074.65,0.0,0.0,0.0,0.0,0.0,83116.69,0.0,0.0,0.0,0.0,0.0,102743.55,0.0,0.0,107755.0,72076.44,0.0,0.0,0.0,139597.16,0.0,0.0,0.0,0.0,93880.28,0.0,0.0,102269.87,0.0,0.0,0.0,213748.38,652002.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331570.27,0.0,0.0,177534.98,0.0,0.0,126249.71,224087.86,132976.72,222030.46,0.0,0.0,96805.73,117012.33,0.0,144525.39,0.0,132294.6,0.0,195265.67,0.0,0.0,0.0,23500.3,131389.86,0.0,116898.96
2010-02,Historical Data,0.0,0.0,120940.38,0.0,0.0,0.0,0.0,573685.25,74750.23,0.0,56390.5,99831.51,142721.95,124522.56,0.0,0.0,133831.5,0.0,138644.99,0.0,190802.16,0.0,0.0,0.0,0.0,0.0,0.0,235549.66,66283.91,58692.05,0.0,123636.29,0.0,0.0,0.0,243200.74,58473.53,204310.06,0.0,129616.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310141.0,0.0,0.0,59575.8,0.0,82444.76,114479.01,26794.26,121706.79,0.0,329159.09,197936.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191462.54,40837.0,0.0,82486.62,52369.25,135036.91,188603.8,0.0,668600.79,115347.5,114145.48,0.0,0.0,0.0,0.0,0.0,140366.43,0.0,131432.87,0.0,0.0,161975.1,0.0,0.0,0.0,100675.32,72119.25,0.0,297690.91,0.0,0.0,157909.71,248909.25,74570.56,81516.05,0.0,145212.84,0.0,131070.88,0.0,202858.15,59467.35,0.0,0.0,214112.25,0.0,0.0,113223.62,0.0,131002.6,0.0,0.0,0.0,0.0,0.0,91822.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448172.8,0.0,131908.89,0.0,197848.12,0.0,54437.96,198805.18,0.0,0.0,0.0,0.0,0.0,98302.34,0.0,0.0,15010.41,364083.81,0.0,0.0,0.0,0.0,177479.62,147488.27,134750.96,0.0,0.0,0.0,0.0,110470.76,107815.06,144092.15,451183.46,0.0,154789.87,72729.55,182045.09,0.0,0.0,166152.12,82938.73,0.0,67527.02,0.0,0.0,119770.38,141938.65,0.0,114920.29,232037.56,110256.59,0.0,0.0,205293.66,89484.95,0.0,0.0,0.0,0.0,0.0,147166.2,271101.37,85179.57,0.0,152501.11,157797.74,148268.61,0.0,0.0,0.0,0.0,128111.45,174620.84,239673.66,0.0,0.0,0.0,0.0,112651.11,0.0,0.0,193011.0,81176.25,0.0,0.0,0.0,0.0,0.0,71711.5,0.0,0.0,0.0,0.0,0.0,101599.0,0.0,0.0,97386.4,66952.34,0.0,0.0,0.0,115129.42,0.0,0.0,0.0,0.0,72221.34,0.0,0.0,126008.63,0.0,0.0,0.0,158821.64,729654.75,0.0,251268.84,0.0,0.0,0.0,0.0,0.0,334954.1,0.0,0.0,187494.23,44494.6,0.0,151561.91,244025.19,142948.05,224758.8,0.0,0.0,95488.61,142006.34,0.0,81661.13,0.0,120940.38,0.0,137335.58,0.0,0.0,0.0,22732.13,114578.9,0.0,143485.35
2010-03,Historical Data,0.0,0.0,129764.84,0.0,0.0,0.0,0.0,708231.05,86416.95,0.0,54950.3,62594.39,170235.81,169201.66,0.0,0.0,161666.36,0.0,0.0,0.0,269739.44,0.0,0.0,0.0,0.0,0.0,0.0,256428.08,83354.13,80056.88,0.0,130370.09,0.0,0.0,0.0,316478.56,125282.22,241812.2,0.0,154663.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389433.74,0.0,0.0,63037.2,0.0,108439.73,126553.11,0.0,155106.57,0.0,398956.05,301397.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78542.31,204132.83,50074.3,0.0,0.0,70770.8,182471.39,200185.16,0.0,770422.95,123827.21,139658.03,0.0,0.0,0.0,0.0,0.0,162638.23,0.0,0.0,0.0,0.0,169838.35,0.0,0.0,0.0,112280.63,86641.96,0.0,292502.48,0.0,0.0,224960.36,276485.67,102498.85,102309.07,0.0,135783.54,0.0,175033.06,0.0,0.0,75495.37,0.0,0.0,277840.21,0.0,0.0,106176.74,0.0,173890.21,0.0,0.0,0.0,0.0,0.0,134953.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460949.07,0.0,144424.03,0.0,232734.79,0.0,70201.25,249795.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15395.48,453246.19,0.0,0.0,0.0,0.0,223961.77,123758.34,166234.25,0.0,0.0,0.0,0.0,130095.15,129091.81,192059.3,568174.57,0.0,185436.94,99557.34,207419.84,0.0,0.0,207153.25,129992.68,0.0,61932.9,0.0,0.0,122893.35,167662.71,0.0,124078.58,294954.09,117941.44,0.0,0.0,273821.28,136227.62,0.0,0.0,0.0,0.0,0.0,195150.9,359123.5,82361.93,0.0,254407.32,210460.8,211404.09,0.0,0.0,0.0,0.0,181068.46,251803.94,101876.02,0.0,0.0,0.0,0.0,124798.5,0.0,0.0,218754.76,73529.96,0.0,0.0,0.0,0.0,0.0,91486.72,0.0,0.0,0.0,0.0,0.0,121655.69,0.0,0.0,128427.8,88879.96,0.0,0.0,0.0,108660.89,27686.79,0.0,0.0,0.0,105413.36,0.0,0.0,159037.44,0.0,0.0,0.0,251901.01,716543.92,0.0,255695.09,0.0,0.0,0.0,0.0,0.0,396529.85,0.0,0.0,209588.53,82359.14,0.0,149330.05,249446.51,159397.1,221578.31,0.0,149544.93,100921.57,159255.35,0.0,147407.54,0.0,129764.84,0.0,225895.38,0.0,0.0,0.0,31182.41,121786.56,0.0,128807.91
2010-04,Historical Data,0.0,0.0,134429.64,0.0,0.0,0.0,0.0,614472.78,70451.64,0.0,87910.45,100230.34,126002.41,129266.52,0.0,0.0,125646.65,0.0,0.0,0.0,232362.12,0.0,0.0,0.0,0.0,0.0,0.0,238653.59,86728.76,86279.2,0.0,0.0,0.0,0.0,0.0,260365.11,120865.02,202718.82,0.0,145836.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392173.02,0.0,0.0,80760.8,0.0,84078.63,118928.26,41099.81,129994.25,0.0,371554.32,241599.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55978.83,173242.57,50728.0,0.0,0.0,52120.63,145356.82,183085.17,0.0,650435.1,107864.93,131281.51,0.0,0.0,0.0,0.0,0.0,98833.21,0.0,125082.01,0.0,0.0,172165.3,0.0,0.0,0.0,97421.55,69351.18,0.0,229847.61,0.0,0.0,180298.37,248058.89,83988.98,82180.26,0.0,172547.17,0.0,162006.95,0.0,183301.04,61974.34,0.0,0.0,233434.61,0.0,0.0,82412.68,0.0,151148.36,0.0,0.0,208870.5,0.0,0.0,130008.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145923.91,0.0,225755.28,0.0,42418.66,234141.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16076.3,391994.86,0.0,0.0,0.0,0.0,217275.76,170107.24,140418.42,0.0,0.0,0.0,0.0,115486.95,108598.18,161110.99,537582.67,0.0,153464.25,76318.97,212552.2,0.0,0.0,179516.49,102277.85,0.0,72489.47,0.0,0.0,113333.48,134263.43,0.0,143916.43,0.0,115269.31,0.0,0.0,256644.07,118635.57,0.0,0.0,0.0,0.0,0.0,168936.52,318239.49,75721.91,0.0,158514.65,209623.33,172023.88,0.0,0.0,0.0,0.0,139205.05,223592.25,233029.99,0.0,0.0,0.0,0.0,122902.95,0.0,0.0,228306.29,85299.85,0.0,0.0,0.0,0.0,0.0,76852.36,0.0,0.0,0.0,0.0,0.0,136379.17,0.0,67939.82,98036.4,71534.73,0.0,0.0,0.0,138175.94,27441.34,0.0,0.0,0.0,99644.2,0.0,0.0,124603.74,0.0,0.0,0.0,206737.31,699941.31,0.0,234601.4,0.0,0.0,0.0,0.0,0.0,369174.15,0.0,0.0,217849.65,64606.55,0.0,154678.15,236499.22,109029.8,263468.06,0.0,0.0,104337.11,114535.54,0.0,125998.88,0.0,134429.64,0.0,213497.07,0.0,0.0,0.0,29936.94,124297.02,0.0,105935.75
2010-05,Historical Data,0.0,0.0,176593.35,0.0,0.0,0.0,0.0,635609.52,78019.03,0.0,73574.3,85032.57,125278.4,147037.26,0.0,115339.04,143974.65,0.0,185019.21,0.0,205285.74,0.0,0.0,0.0,0.0,0.0,0.0,229278.43,79769.69,51719.91,0.0,0.0,0.0,0.0,0.0,258666.57,120128.22,245115.27,0.0,143964.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364432.3,0.0,0.0,72412.0,0.0,102076.52,123429.66,32820.44,130465.69,0.0,345180.23,244732.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190567.28,49080.2,0.0,112404.22,53949.03,175323.84,205269.35,0.0,690726.56,98944.17,0.0,0.0,25773.2,0.0,0.0,0.0,158147.6,0.0,110887.18,0.0,0.0,0.0,0.0,0.0,0.0,96389.74,84513.6,0.0,258455.48,0.0,0.0,206284.68,270240.9,66085.14,110576.98,0.0,111628.66,0.0,155539.68,0.0,170502.47,58844.64,0.0,0.0,211290.95,0.0,0.0,103871.51,0.0,161989.5,0.0,0.0,161463.77,0.0,0.0,162954.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114754.39,0.0,234240.74,0.0,59495.05,247687.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162383.94,37185.13,0.0,0.0,0.0,0.0,146082.57,184884.38,159165.12,135879.42,0.0,0.0,0.0,0.0,119360.03,106833.12,181268.66,563038.44,0.0,152924.35,90368.3,195972.48,0.0,0.0,169490.23,91679.14,0.0,63208.06,0.0,0.0,106502.48,133480.33,0.0,135187.22,232063.77,110128.05,0.0,0.0,254610.32,147952.61,0.0,0.0,0.0,0.0,0.0,171403.46,275776.8,80949.94,0.0,201927.65,145979.03,159636.4,0.0,0.0,0.0,0.0,158328.09,204017.82,223749.18,0.0,0.0,0.0,0.0,95126.86,0.0,0.0,200387.6,81192.23,0.0,0.0,0.0,0.0,0.0,51553.47,0.0,0.0,0.0,0.0,0.0,137069.69,0.0,61104.8,123621.8,68204.3,0.0,0.0,0.0,93693.27,31335.91,0.0,0.0,0.0,98543.68,0.0,0.0,127843.4,0.0,0.0,0.0,203788.98,763221.23,0.0,260956.93,0.0,0.0,0.0,0.0,0.0,390363.76,0.0,0.0,193942.41,61869.62,0.0,147666.43,0.0,134870.58,253420.23,0.0,0.0,59395.69,136463.48,0.0,127903.12,0.0,176593.35,0.0,208615.44,0.0,0.0,0.0,14637.22,139991.54,0.0,121439.16
2010-06,Historical Data,0.0,0.0,139038.43,0.0,0.0,0.0,0.0,678002.2,100622.12,0.0,0.0,109099.87,157538.7,168904.03,0.0,0.0,156908.85,0.0,0.0,0.0,238009.62,0.0,0.0,0.0,0.0,0.0,0.0,250344.68,87560.21,74429.31,0.0,0.0,0.0,0.0,0.0,290255.72,121302.59,223267.82,0.0,212028.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336884.0,0.0,0.0,66077.0,0.0,90062.51,124349.93,35925.56,163875.91,0.0,340082.4,267791.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54855.78,240595.48,50510.9967,0.0,129144.9,73876.74,168980.64,203292.88,0.0,807983.7,98780.08,129558.97,0.0,0.0,0.0,0.0,0.0,151050.3,0.0,133071.72,0.0,0.0,181203.83,0.0,0.0,0.0,98137.78,81119.96,0.0,297383.75,0.0,0.0,209599.03,324501.44,89323.38,92344.66,0.0,174376.44,0.0,193735.88,0.0,230522.92,87974.97,0.0,0.0,244623.54,0.0,0.0,85821.28,0.0,166461.68,0.0,0.0,0.0,0.0,0.0,128776.0,0.0,0.0,0.0,68242.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152669.67,0.0,227933.71,0.0,64451.78,229766.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160664.2,17345.38,397350.75,0.0,0.0,0.0,0.0,239552.1,177624.37,127083.89,0.0,0.0,0.0,0.0,130783.49,127867.07,151758.45,564496.15,0.0,200044.34,100840.26,203498.73,0.0,0.0,198807.95,91985.75,0.0,70722.85,0.0,0.0,135566.55,162072.05,0.0,126272.3,268179.65,111865.55,0.0,0.0,252383.89,144712.17,0.0,0.0,0.0,0.0,0.0,177036.87,320611.19,80472.08,0.0,236229.27,172364.0,153799.91,0.0,0.0,0.0,0.0,154049.93,243087.49,236128.72,0.0,0.0,0.0,0.0,119333.72,0.0,0.0,200598.22,104466.09,0.0,0.0,0.0,0.0,0.0,89897.35,0.0,0.0,0.0,0.0,0.0,145786.94,0.0,77403.27,124955.3,90611.33,0.0,0.0,0.0,148965.27,30725.89,0.0,0.0,0.0,107182.93,0.0,0.0,140365.47,0.0,0.0,0.0,228948.43,811092.81,0.0,279075.82,0.0,0.0,0.0,0.0,0.0,393398.94,0.0,0.0,224305.34,67361.92,0.0,177212.51,314957.89,176594.56,283421.87,0.0,0.0,115193.1,128621.09,0.0,133152.38,0.0,139038.43,0.0,214627.31,0.0,0.0,0.0,34649.25,107385.34,0.0,147876.18
2010-07,Historical Data,0.0,0.0,174528.87,0.0,0.0,0.0,0.0,549192.36,0.0,0.0,0.0,0.0,121746.25,142116.25,0.0,0.0,135451.85,0.0,0.0,0.0,202313.97,0.0,0.0,0.0,0.0,0.0,0.0,245782.71,85054.56,41285.22,0.0,0.0,0.0,0.0,0.0,240042.07,87859.76,204656.55,0.0,168730.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324335.7,0.0,0.0,79277.6,0.0,61727.96,117072.58,33233.34,116495.39,0.0,254285.41,155508.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44703.4,179880.17,28351.0,0.0,0.0,56636.02,142381.21,147395.58,0.0,725549.2,82569.14,109753.02,0.0,0.0,0.0,0.0,0.0,134475.06,0.0,111425.55,0.0,0.0,144735.9,0.0,0.0,0.0,108008.06,99734.38,0.0,210341.11,0.0,0.0,119740.6,249196.18,61646.95,66801.51,0.0,111458.1,0.0,129249.7,0.0,0.0,75814.28,0.0,0.0,176031.32,0.0,0.0,77569.82,0.0,109859.24,0.0,0.0,0.0,0.0,0.0,94433.28,0.0,0.0,0.0,104752.8,0.0,0.0,0.0,0.0,0.0,0.0,437498.67,0.0,141703.02,0.0,179128.77,0.0,55111.09,225059.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158129.36,18921.66,364557.64,0.0,0.0,0.0,0.0,196138.12,139038.17,130449.88,0.0,0.0,0.0,0.0,117453.5,77972.54,105547.67,439835.09,0.0,143915.84,44947.76,200529.54,0.0,0.0,120906.41,64047.14,0.0,44768.05,0.0,0.0,127270.16,135951.35,0.0,135645.95,178925.54,85196.77,0.0,0.0,228056.498,102538.69,0.0,0.0,0.0,0.0,0.0,101410.82,274411.43,43748.82,0.0,105973.91,134914.38,143801.31,0.0,0.0,0.0,0.0,85018.64,181401.38,233822.68,0.0,0.0,0.0,0.0,90689.24,0.0,0.0,166837.01,48604.45,0.0,0.0,0.0,0.0,0.0,71806.41,0.0,0.0,0.0,0.0,0.0,78699.49,0.0,0.0,119203.1,70344.99,0.0,0.0,0.0,73883.47,28348.57,0.0,0.0,0.0,64332.82,0.0,0.0,125227.72,0.0,0.0,0.0,168039.7,757147.62,0.0,231204.87,0.0,26194.66,0.0,0.0,0.0,313028.2,0.0,0.0,179060.17,64739.34,0.0,81668.97,0.0,130867.58,194532.42,0.0,0.0,94469.49,54625.57,0.0,86036.4,0.0,174528.87,0.0,171132.38,0.0,0.0,0.0,37472.1,118217.94,0.0,55829.47
2010-08,Historical Data,0.0,0.0,150264.2,0.0,18967.0,0.0,0.0,623596.52,76119.05,0.0,0.0,83216.81,143783.22,136273.24,0.0,0.0,138921.53,0.0,0.0,0.0,230992.84,0.0,0.0,0.0,0.0,0.0,0.0,233649.13,86849.84,74749.11,0.0,121372.86,0.0,0.0,0.0,227935.25,118679.0,220496.41,0.0,200619.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264048.11,0.0,0.0,35073.6,0.0,91305.84,125040.87,39146.82,108980.04,0.0,283634.58,71139.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64973.02,189915.43,65662.0,0.0,0.0,52052.31,150047.02,136430.45,0.0,680681.63,97147.05,0.0,0.0,0.0,0.0,0.0,0.0,146225.14,0.0,0.0,0.0,125045.0,139529.23,0.0,0.0,0.0,97387.02,116456.66,0.0,188502.56,0.0,0.0,160194.1,169541.25,71848.51,63026.57,0.0,124621.1,0.0,169202.44,0.0,0.0,50784.61,0.0,0.0,170911.46,0.0,0.0,93160.94,0.0,160497.45,0.0,0.0,184354.71,0.0,0.0,125369.17,0.0,0.0,0.0,118389.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134177.96,0.0,206259.73,0.0,73783.84,250979.44,103164.92,0.0,0.0,0.0,0.0,0.0,0.0,141263.05,28914.03,379318.36,0.0,0.0,0.0,0.0,193109.09,124475.21,143692.47,0.0,0.0,0.0,0.0,99783.75,102919.45,102592.83,579033.51,0.0,136697.14,58221.56,208630.36,0.0,0.0,161036.62,83891.56,0.0,64732.43,0.0,0.0,113202.96,134720.06,0.0,136162.77,256605.18,103709.96,0.0,0.0,249690.59,130816.24,0.0,0.0,0.0,0.0,0.0,128479.17,287440.69,82095.53,0.0,193934.78,208018.0,143722.47,0.0,0.0,0.0,0.0,110738.65,217446.74,246241.42,0.0,0.0,0.0,0.0,125983.64,0.0,0.0,218206.45,84960.23,0.0,0.0,0.0,0.0,0.0,70572.62,0.0,0.0,0.0,0.0,0.0,105586.86,0.0,0.0,110840.7,79574.25,0.0,0.0,0.0,106653.88,32516.31,0.0,0.0,0.0,72279.8,0.0,0.0,116881.89,0.0,0.0,0.0,171230.88,725968.49,0.0,255885.82,0.0,0.0,0.0,0.0,0.0,332766.43,0.0,0.0,166825.01,61349.73,0.0,113787.91,258796.67,129409.437,220467.99,0.0,0.0,91381.41,140195.65,0.0,122522.26,0.0,150264.2,0.0,166991.61,0.0,0.0,0.0,39030.47,118074.82,0.0,106312.46
2010-09,Historical Data,0.0,0.0,134438.73,0.0,88730.22,0.0,0.0,660632.53,79305.97,0.0,29875.0,119279.83,171656.3,153135.64,67825.4,125507.45,144910.5,0.0,0.0,0.0,204923.0,0.0,0.0,0.0,0.0,0.0,0.0,237269.36,100960.47,54441.4,0.0,96663.4,0.0,0.0,0.0,275146.97,88239.26,180077.87,0.0,126701.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310708.44,0.0,0.0,72300.8,0.0,85457.45,99999.17,42760.85,142977.88,0.0,303099.39,263700.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55128.04,202867.93,62311.003,0.0,0.0,62847.66,210403.52,131279.35,0.0,660119.01,112742.71,128348.42,0.0,0.0,0.0,0.0,0.0,145454.68,0.0,128352.79,0.0,143940.0,176556.94,0.0,0.0,0.0,95675.53,65300.24,0.0,253159.05,0.0,0.0,197940.52,244186.01,93875.7,73988.0,0.0,177266.46,0.0,153522.78,0.0,193241.12,55352.15,0.0,0.0,221649.87,0.0,0.0,113303.71,0.0,145371.79,0.0,0.0,0.0,0.0,0.0,96190.36,0.0,0.0,0.0,82603.85,0.0,0.0,0.0,0.0,0.0,0.0,435633.84,0.0,146088.31,0.0,198783.2,0.0,72974.12,218863.59,127778.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27172.4,0.0,0.0,0.0,0.0,154999.44,179348.27,149596.03,157393.31,0.0,0.0,0.0,0.0,137264.09,103087.42,117634.09,551594.69,0.0,145568.62,72955.35,233181.57,0.0,0.0,201703.49,98031.52,0.0,71323.95,0.0,0.0,124298.79,139134.74,0.0,109904.18,250244.15,115265.19,0.0,0.0,208629.92,109339.17,0.0,0.0,0.0,0.0,0.0,171619.44,291234.51,82362.6,0.0,216438.71,132716.92,150803.46,0.0,0.0,0.0,0.0,123162.41,191425.34,228377.31,0.0,0.0,0.0,0.0,97779.14,0.0,0.0,208471.49,69438.37,0.0,0.0,0.0,0.0,0.0,88400.77,0.0,0.0,0.0,0.0,0.0,122010.16,0.0,0.0,106287.0,65734.04,0.0,0.0,0.0,106221.16,24676.11,0.0,0.0,0.0,99296.69,0.0,0.0,149199.91,0.0,0.0,0.0,221674.69,793400.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369971.18,0.0,0.0,152365.59,60905.76,0.0,153172.8,266951.79,147846.03,243901.17,0.0,0.0,99624.55,120970.65,0.0,127411.6,0.0,134438.73,0.0,221493.18,0.0,0.0,0.0,19514.95,111710.17,0.0,124171.64
2010-10,Historical Data,0.0,0.0,138369.59,0.0,78145.81,0.0,0.0,653819.52,71599.19,0.0,39481.0,114316.8,127032.82,142191.36,101588.33,0.0,135331.25,0.0,0.0,0.0,210583.93,0.0,0.0,0.0,0.0,0.0,0.0,211145.32,70383.06,101918.22,0.0,199289.22,0.0,0.0,0.0,267888.62,100456.55,208370.0,0.0,181401.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243818.45,0.0,0.0,67850.66,0.0,82720.54,108388.99,0.0,137173.1,0.0,282513.85,226524.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57399.82,178601.8,25406.0,0.0,0.0,51335.14,155594.55,120613.52,0.0,692352.14,111688.32,130966.44,0.0,0.0,0.0,0.0,0.0,140197.66,0.0,118722.24,0.0,138650.0,145502.84,0.0,0.0,0.0,100714.08,100651.36,0.0,256782.19,0.0,0.0,180692.45,223873.36,70830.17,101656.92,0.0,186812.22,0.0,168190.51,0.0,0.0,69594.46,0.0,0.0,281794.32,0.0,0.0,92434.71,0.0,141647.76,0.0,0.0,0.0,0.0,0.0,148939.37,0.0,0.0,0.0,102600.57,0.0,0.0,0.0,0.0,0.0,0.0,398759.18,0.0,142588.54,0.0,213687.35,0.0,45827.43,211830.36,127503.23,0.0,0.0,0.0,0.0,0.0,0.0,141212.9,23018.36,379539.27,0.0,0.0,0.0,0.0,190802.53,127945.52,170872.92,232.0,0.0,0.0,0.0,129981.41,95240.89,135427.63,421962.5,0.0,143173.63,98336.18,227929.79,0.0,0.0,163047.94,93731.07,0.0,0.0,0.0,0.0,131146.07,127653.91,0.0,120873.3,245636.32,115422.0,0.0,0.0,226266.16,86920.58,0.0,0.0,0.0,0.0,0.0,138957.05,286257.19,71147.48,0.0,157511.46,131810.78,143993.89,0.0,0.0,0.0,0.0,137643.58,203525.91,256116.75,0.0,0.0,0.0,0.0,99141.53,0.0,0.0,183402.5,86318.73,0.0,0.0,0.0,0.0,0.0,77116.87,0.0,0.0,0.0,0.0,0.0,119457.81,0.0,67090.45,90780.8,69564.74,0.0,0.0,0.0,91093.61,0.0,0.0,0.0,0.0,81272.25,0.0,0.0,96177.43,0.0,0.0,173956.72,188692.82,675761.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354045.86,0.0,0.0,170692.04,54907.14,0.0,149342.6,337514.98,149214.78,263193.13,0.0,0.0,110680.34,137937.0,0.0,136873.2,0.0,138369.59,0.0,178939.28,0.0,0.0,0.0,54864.36,107591.04,0.0,122605.24
